build_failed,gh_is_pr,git_prev_commit_resolution_status,gh_team_size,git_num_all_built_commits,gh_num_commit_comments,git_diff_src_churn,git_diff_test_churn,gh_diff_files_added,gh_diff_files_deleted,gh_diff_files_modified,gh_diff_tests_added,gh_diff_tests_deleted,gh_diff_src_files,gh_diff_doc_files,gh_diff_other_files,gh_num_commits_on_files_touched,gh_sloc,gh_test_lines_per_kloc,gh_test_cases_per_kloc,gh_asserts_cases_per_kloc,gh_by_core_team_member,year_of_start,month_of_start,day_of_start,hour_of_start,elapsed_days_last_build,same_committer,proj_fail_rate_history,proj_fail_rate_recent,comm_fail_rate_history,comm_fail_rate_recent,comm_avg_experience,totalNumberOfRevisions,no_config_edited,num_files_edited,num_distinct_authors,prev_build_result,day_week
0,0,1,26,2,0,8,0,0,0,2,0,0,1,0,1,23630,401889,419.4168041,27.66186683,109.0151758,1,2012,1,1,9,1,0,0.13689233,0,0.07848837,0,172,4,0,4,2,0,1
0,0,1,26,1,0,0,1,0,0,1,0,0,1,0,0,3,401889,419.4192924,27.66186683,109.0151758,1,2012,1,1,14,0,0,0.13685152,0,0.092449926,0,649,2,0,2,1,0,1
0,0,1,26,2,0,0,22,0,0,1,0,0,1,0,0,32,401889,419.4192924,27.66186683,109.0151758,1,2012,1,1,14,0,1,0.13681073,0,0.092307694,0,650,8,0,4,1,0,1
0,0,1,26,2,0,27,0,0,0,3,0,0,2,0,1,23667,401889,419.4192924,27.66186683,109.0151758,1,2012,1,1,17,0,0,0.13676997,0,0.0881459,0,164.5,6,0,6,2,0,1
0,0,1,26,1,0,13,0,0,0,2,0,0,1,0,1,20804,401889,419.4192924,27.66186683,109.0151758,1,2012,1,1,17,0,0,0.13672923,0,0.09090909,0,55,4,0,4,1,0,1
0,0,1,26,1,0,2,0,0,0,2,0,0,1,0,1,20790,401889,419.4192924,27.66186683,109.0151758,1,2012,1,1,18,0,1,0.1366885,0,0.08928572,0,56,4,0,4,1,0,1
0,0,1,26,1,0,0,0,0,0,1,0,0,0,0,1,20771,401889,419.4192924,27.66186683,109.0151758,1,2012,1,1,21,0,1,0.1366478,0,0.0877193,0,57,2,0,2,1,0,1
0,0,1,19,1,0,13,0,0,0,2,0,0,1,0,1,18110,375412,378.1951563,24.25868113,101.7175796,1,2012,1,2,13,0,0,0.1,0,0,0,0,4,0,4,1,0,2
0,0,1,19,1,0,0,0,0,0,3,0,0,0,0,3,18122,375413,378.1941488,24.25861651,101.7173087,1,2012,1,3,11,0,0,0.14028777,0.4,0,0,0,68,0,24,3,0,3
0,0,1,19,2,0,26,0,0,0,3,0,0,2,0,1,20639,375408,378.199186,24.25893961,101.7186634,1,2012,1,3,15,0,0,0.13978495,0.4,0,0,1,6,0,6,2,0,3
0,0,1,19,1,0,6,0,0,0,2,0,0,1,0,1,18126,375409,378.259445,24.26420251,101.7263838,1,2012,1,6,14,0,0,0.13993174,0,0,0,0.5714286,288,0,52,7,0,6
0,0,1,19,2,0,4,0,0,0,3,0,0,1,0,2,20693,375409,378.259445,24.26420251,101.7263838,0,2012,1,6,15,0,0,0.13945578,0,0,0,2,6,0,6,2,0,6
0,0,1,20,1,0,351,0,0,0,7,0,0,6,0,1,18242,375409,378.259445,24.26420251,101.7263838,1,2012,1,7,14,1,0,0.14478114,0.4,0,0,0,14,0,14,1,0,7
0,0,1,20,2,0,17,0,0,0,4,0,0,2,0,2,20753,375409,378.259445,24.26420251,101.7263838,1,2012,1,7,15,0,0,0.1442953,0.4,0,0,2.5,8,0,8,2,0,7
1,0,1,20,1,0,2,0,0,0,2,0,0,1,0,1,18190,375409,378.2701001,24.26686627,101.7317113,1,2012,1,7,15,0,0,0.14666666,0.6,0,0,1.5,8,0,8,2,0,7
1,0,1,20,1,0,0,3,0,0,2,0,0,1,0,1,18132,375409,378.2727638,24.26686627,101.7317113,1,2012,1,7,16,0,0,0.14950167,0.6,0,0,3,4,0,4,1,1,7
1,0,1,20,1,0,0,6,0,0,1,0,0,1,0,0,62,375409,378.2834189,24.26686627,101.7317113,1,2012,1,7,23,0,0,0.15231788,0.8,0.33333334,0.33333334,3,2,0,2,1,1,7
1,0,1,20,1,0,15,0,0,0,2,0,0,1,0,1,18194,375409,378.2834189,24.26686627,101.7317113,1,2012,1,8,11,0,0,0.15409836,0.6,0,0,1,36,0,12,1,0,1
1,0,1,20,2,0,74,13,0,0,10,0,0,9,0,1,20832,375409,378.2994015,24.26686627,101.7476938,1,2012,1,8,20,0,0,0.15686275,0.6,0.22222222,0.4,4.5,20,0,20,2,1,1
1,0,1,20,1,0,32,0,0,0,7,0,0,6,0,1,18317,375409,378.2994015,24.26686627,101.7476938,1,2012,1,8,21,0,0,0.15960912,0.6,0.6,0.6,5,14,0,14,1,1,1
1,0,1,20,1,0,8,0,0,0,2,0,0,1,0,1,18197,375409,378.2994015,24.26686627,101.7476938,1,2012,1,8,22,0,1,0.16233766,0.6,0.6666667,0.8,6,4,0,4,1,1,1
0,0,1,20,1,0,3,18,0,0,3,0,0,2,0,1,18160,375413,378.3379904,24.26660771,101.7492735,1,2012,1,9,11,0,0,0.16932908,0.6,0.33333334,0.33333334,1,34,0,18,3,0,2
0,0,1,20,1,0,5,0,0,0,2,0,0,1,0,1,18150,375416,378.3349671,24.26641379,101.7484604,1,2012,1,9,11,0,0,0.1687898,0.4,0,0,1,4,0,4,1,0,2
0,0,1,20,1,0,19,0,0,0,2,0,0,1,0,1,18143,375416,378.3349671,24.26641379,101.7484604,1,2012,1,9,11,0,1,0.16825397,0.2,0,0,2,4,0,4,1,0,2
0,0,1,20,1,0,43,0,0,0,2,0,0,1,0,1,18203,375416,378.3349671,24.26641379,101.7484604,1,2012,1,9,12,0,0,0.16772152,0.2,0.33333334,0.33333334,3,4,0,4,1,0,2
0,0,1,20,1,0,0,43,0,0,2,0,0,1,0,1,18169,375419,378.3932087,24.27154726,101.7476473,0,2012,1,9,18,0,0,0.165625,0,0.125,0.2,4,60,0,20,2,0,2
0,0,1,20,1,0,4,0,0,0,2,0,0,1,0,1,18170,375419,378.4198456,24.27421095,101.7529747,1,2012,1,10,13,0,0,0.17168675,0.2,0.625,1,2,170,0,46,4,0,3
0,0,1,20,2,0,4,0,0,0,2,0,0,1,0,1,20665,375419,378.4198456,24.27421095,101.7529747,1,2012,1,11,13,1,0,0.17117117,0.2,0.125,0.2,4,4,0,4,2,0,4
0,0,1,20,1,0,0,14,0,0,2,0,0,1,0,1,18161,375419,378.4411551,24.27421095,101.7609657,0,2012,1,11,13,0,0,0.17065868,0.2,0,0,3,4,0,4,1,0,4
0,0,1,20,1,0,9,0,0,0,2,0,0,1,0,1,18219,375419,378.4411551,24.27421095,101.7609657,0,2012,1,11,14,0,1,0.17014925,0.2,0,0,4,4,0,4,1,0,4
0,0,1,20,2,0,7,0,0,0,3,0,0,2,0,1,20733,375419,378.4411551,24.27421095,101.7609657,1,2012,1,11,15,0,0,0.16964285,0.2,0.125,0.2,4,6,0,6,2,0,4
0,0,1,20,1,0,26,0,0,0,2,0,0,1,0,1,18197,375419,378.4411551,24.27421095,101.7609657,1,2012,1,11,16,0,0,0.16913946,0,0,0,2,4,0,4,1,0,4
0,0,1,20,1,0,19,0,0,0,2,0,0,1,0,1,18196,375419,378.4411551,24.27421095,101.7609657,1,2012,1,11,17,0,0,0.17352942,0.2,0.25,0.25,4,4,0,4,1,0,4
0,0,1,20,2,0,22,0,0,0,2,0,0,2,0,0,4380,375415,378.4451873,24.27446959,101.76205,1,2012,1,12,16,0,0,0.17201166,0.2,0.31578946,0,4.75,16,0,12,4,0,5
0,0,1,20,1,0,2,0,0,0,2,0,0,1,0,1,18171,375415,378.4451873,24.27446959,101.76205,1,2012,1,12,18,0,0,0.17391305,0.4,0,0,0,4,0,4,1,0,5
0,0,1,20,1,0,2,9,0,0,3,0,0,2,0,1,18169,375415,378.4638334,24.27713331,101.7673774,1,2012,1,12,18,0,0,0.1734104,0.2,0,0,1,6,0,6,1,0,5
0,0,1,20,2,0,37,0,0,0,3,0,0,1,0,1,18236,375416,378.4628252,24.27706864,101.7671064,1,2012,1,12,18,0,1,0.17291066,0.2,0,0,2,18,0,10,1,0,5
0,0,1,20,2,0,32,0,0,0,3,0,0,2,0,1,20823,375416,378.4867986,24.28239606,101.7777612,1,2012,1,13,22,0,0,0.1741573,0.2,0.0625,0,4,94,0,30,4,0,6
0,0,1,20,1,0,6,6,0,0,3,0,0,2,0,1,18197,375416,378.4734801,24.27973235,101.7724338,1,2012,1,13,23,0,0,0.17366947,0.2,0.5555556,0.6,9,6,0,6,1,0,6
0,0,1,20,1,0,0,0,0,0,2,0,0,0,0,2,77,375416,378.5347455,24.28505977,101.7804249,1,2012,1,14,12,0,0,0.17222223,0.2,0,0,4.5,40,0,20,2,0,7
0,0,1,20,1,0,5,11,1,0,2,0,0,2,0,1,18190,375416,378.5587189,24.28772349,101.7830886,1,2012,1,14,13,0,0,0.17174515,0,0,0,5,6,0,6,1,0,7
0,0,1,20,1,0,6,0,0,0,1,0,0,1,0,0,251,375416,378.5587189,24.28772349,101.7830886,1,2012,1,14,13,0,1,0.17127071,0,0,0,6,2,0,2,1,0,7
0,0,1,20,1,0,14,0,0,0,2,0,0,1,0,1,18180,375419,378.5556938,24.2875294,101.7822753,1,2012,1,14,13,0,1,0.1707989,0,0,0,7,4,0,4,1,0,7
0,0,1,21,6,0,514,0,0,0,3,0,0,2,0,1,20704,375419,378.6196223,24.29019309,101.7902663,1,2012,1,15,15,0,0,0.1693989,0,0.2857143,0,7,84,0,28,3,0,1
0,0,1,21,2,0,9,0,0,0,3,0,0,2,0,1,20712,375420,378.6772149,24.29279207,101.808641,1,2012,1,16,22,0,0,0.1769437,0.6,0.19354838,0,10.333333,34,0,22,3,0,2
0,0,1,21,1,0,0,0,0,0,1,0,0,0,0,1,18194,375479,378.7295694,24.30495447,101.8246027,0,2012,1,18,14,0,0,0.17783505,0,0.13636364,0,7.3333335,212,0,52,6,0,4
0,0,1,21,1,0,5,6,0,0,3,0,0,2,0,1,18202,375502,378.9380616,24.31678127,101.9142375,1,2012,1,20,11,0,0,0.1758794,0.2,0.16216215,0,7.4,100,0,44,5,0,6
0,0,1,21,1,0,0,0,0,0,1,0,0,0,0,1,18200,375502,378.9380616,24.31678127,101.9142375,1,2012,1,20,11,0,0,0.1754386,0.2,0,0,1,2,0,2,1,0,6
0,0,1,21,1,0,22,6,0,0,3,0,0,2,0,1,18234,375502,378.9513771,24.31944437,101.9195637,1,2012,1,21,13,0,0,0.17456359,0.2,0.15,0,13.333333,16,0,12,3,0,7
0,0,1,21,1,0,2,0,0,0,2,0,0,1,0,1,18222,375502,378.9513771,24.31944437,101.9195637,1,2012,1,21,13,0,0,0.17412935,0,0,0,12,4,0,4,1,0,7
0,0,1,21,2,0,57,12,0,0,5,0,0,4,0,1,20765,375489,379.2601115,24.33626551,102.0216305,1,2012,1,25,18,0,0,0.17857143,0.4,0.115384616,0,7.428571,636,0,120,7,0,4
0,0,1,21,2,0,8,0,0,0,3,0,0,2,0,1,20805,375489,379.2601115,24.33626551,102.0216305,1,2012,1,27,7,1,0,0.17966904,0.2,0.03125,0,10.666667,14,0,10,3,0,6
0,0,1,21,1,0,2,0,0,0,1,0,0,1,0,0,453,375489,379.2601115,24.33626551,102.0216305,1,2012,1,27,7,0,0,0.17924528,0.2,0,0,15,2,0,2,1,0,6
0,0,1,21,2,0,12,17,1,0,3,0,0,3,0,1,20752,375493,379.298682,24.33866943,102.02587,1,2012,1,27,20,0,0,0.18075117,0.4,0.029411765,0,17,8,0,8,2,0,6
0,0,1,21,4,0,26,11,0,0,5,0,0,4,0,1,18280,375494,379.3083245,24.33860461,102.0282614,1,2012,1,28,1,1,0,0.18032786,0.4,0,0,1,46,0,18,1,0,7
0,0,1,21,1,0,45,35,0,0,3,0,0,2,0,1,18244,375494,379.3935456,24.34126777,102.0362509,1,2012,1,29,3,1,0,0.17990655,0.2,0,0,17,6,0,6,1,0,1
